序号,图片名称,生成提示词
30,ui_panel_modal_bg.png,游戏弹窗面板背景，玻璃拟态风格，主体：圆角矩形（圆角 24px），半透明米白色填充，边框：2px 浅金色描边，带有微妙的光泽渐变，顶部：有装饰性的花纹边框，类似农场木栅栏纹理，底部：有轻微的阴影投影，内部：留白区域用于放置内容，风格：扁平化 + 轻渐变光泽，温暖田园色调，透明背景，单张游戏 UI 素材
31,ui_decor_divider.png,游戏 UI 分隔线，农场风格，中间有小麦穗装饰，两端渐隐，棕色和金色配色，扁平化矢量风格，透明背景，单张游戏精灵图
32,ui_decor_corner_tl.png,游戏 UI 角标装饰，左上角，藤蔓缠绕的叶子花纹，绿色和金色配色，扁平化矢量风格，透明背景，单张游戏精灵图
33,ui_decor_corner_tr.png,游戏 UI 角标装饰，右上角，藤蔓缠绕的叶子花纹，绿色和金色配色，扁平化矢量风格，透明背景，单张游戏精灵图
34,ui_decor_corner_bl.png,游戏 UI 角标装饰，左下角，藤蔓缠绕的叶子花纹，绿色和金色配色，扁平化矢量风格，透明背景，单张游戏精灵图
35,ui_decor_corner_br.png,游戏 UI 角标装饰，右下角，藤蔓缠绕的叶子花纹，绿色和金色配色，扁平化矢量风格，透明背景，单张游戏精灵图
36,ui_decor_ribbon_green.png,游戏 UI 丝带标签，绿色缎带横幅，中间区域留白用于文字，两端呈燕尾形，扁平化矢量风格，透明背景，单张游戏精灵图
37,ui_decor_ribbon_gold.png,游戏 UI 丝带标签，金色缎带横幅，中间区域留白用于文字，两端呈燕尾形，扁平化矢量风格，透明背景，单张游戏精灵图
38,ui_decor_stamp_new.png,"游戏 UI 印章图标，红色圆形印章，内部有 ""NEW"" 字样，带有不规则边缘模拟真实印章效果，扁平化矢量风格，透明背景，单张游戏精灵图"
39,ui_panel_tooltip_bg.png,游戏提示框背景，气泡对话框风格，主体：圆角矩形（圆角 12px），半透明深棕色填充，边框：1px 浅棕色描边，底部：有小三角形指向下方（模拟对话框尾巴），内部：留白区域用于放置文字，风格：扁平化 + 轻微渐变，暗色背景确保文字可读性，透明背景，单张游戏 UI 素材
